Απίθανο! Έχει εκπληκτικά χρώματα και εξαιρετική ευκρίνεια! Πολύ γρήγορο σε όλα του. Εάν και δεν έχει κάρτα SD η μνήμη 32GB νομίζω πως είναι αρκετά ικανοποιητική. Όσον αφορά την φόρτιση κάνει γύρω στις 6 ώρες περίπου. Με την αγορά ενός καλωδίου τύπου Pogo φορτίζει 25% ταχύτερα. Γενικά είμαι πολύ ευχαριστημένος!,Positive
Εξαιρετικό. Μπορείς να το χρησιμοποιείς και για εργαλείο δουλειάς και για διασκέδαση.   Έχει δύο μειονεκτήματα:   1. Δεν μπορείς να βάλεις κάρτα sd για να επεκτείνεις τη μνήμη.   2. Θέλει περίπου 8 ώρες για να φορτίσει.,Positive
"Tου περασα Custom Λειτουργικο CM10.3 και απλα ΠΕΤΑΕΙ!!! Τρεχει τα ΠΑΝΤΑ,Εφαρμογες Βαρια 3D games ταινιες 4Κ το μονο αρνητικο ειναι οτι λογο μεταλικου κελυφους εχει αδυναμο wifi αλλα αυτο με κατι πατεντες και μια αλλαγη κεραιας (2 ευρω απο το ebay) διορθωθηκε. ειμαι πολυ ευχαριστημενος και θεωρηται η καλυτερη ταμπλετα στη κατηγοριας της μεταξυ ολων των κινεζικων ταμπλετ. Για αυτο και υπαρχει τρομερη υποστηρικη απο την κοινοτητα τον Developers XDA/Slatedroid κτλ.",Positive
Το εχω 3 μηνες μου εχει κολησει 4 φορες!!!!!!!!αθλιο ταβλετ πολυ αργο για τετραπυρηνο και επειδη χτυπηθηκε μου ειπαν πως ειναι εκτος εγγυησεις!!!!!?????!!!!του εχουμε κανει 3 φορες αναβαθμιση αλλα τιποτα.,Negative
"το έχω πάρει περίποu δυο μήνες και είναι πάρα πολύ κάλο σε σχέση με τα υπόλοιπα της αγοράς τέτοιου τύπου, η οθόνη έχει πολύ καλή ευκρίνεια, άλλα θα το ήθελα λίγο ποιο γρήγορο, Από ποιότητα είναι πάρα πολύ κοντά στον επώνυμο ανταγωνισμό.",Positive
"Το έχω περίπου 1 μήνα. Η οθόνη πολύ καλή, η ποιότητα κατασκευής επίσης καλή, η μπαταρία μου φαίνεται νορμαλ (ανάλογα τη χρήση, μπορεί να μου κρατήσει από κάποιες ώρες εως και 2 μέρες, εξαρτάται ΠΑΡΑ πολύ από τη φωτεινότητα της οθόνης). Διάβασα σε άλλο σχόλιο για τη φωτεινότητα, τα ελληνικά και τις αναβαθμίσεις. Η φωτεινότητα προσωπικά μου φαίνεται μια χαρά, τα ελληνικά είναι μια χαρά (δεν κόβεται τίποτα), και αναβαθμίσεις υπάρχουν. Βασικά, από τότε που έκανα την αναβάθμιση του λειτουργικού το tablet πετάει, η ταχύτητα πολύ καλύτερη, όλα παίζουν στρωτά και χωρίς κολλήματα. Για μένα, μόνο σοβαρό μειονέκτημα είναι ότι σε απαιτητικές εφαρμογές ζεσταίνεται πολύ. Επίσης ένα μειονέκτημα είναι ότι για να δουλέψει στρωτά χρειάζεται στην αρχή κάποιες ρυθμίσεις και αναβαθμίσεις που ένας τελείως άσχετος ίσως δε θα μπορέσει να τις κάνει. Δεν είναι για κάποιον που δεν έχει ιδέα, και θέλει απλά να πάρει κάτι, να πατήσει το κουμπί και να δουλεύουν όλα. Για κάποιον όμως που μπορεί π.χ. να κάνει μια αναβάθμιση firmware, το tablet σαρώνει και σε τιμή πολύ μικρότερη από άλλα με αντίστοιχα χαρακτηριστικά.",Positive
Το εχω περιπου 3 εβδομαδες μπορω να πω οτι αξιζει τα λεφτα του πολυ καλη κατασκευη,Positive
"Θετικά:   -Τεράστια αυτονομία μπαταρίας.   -Δυνατός Τετραπύρινος Επεξεργαστής (5 πύρινος στ' αλήθεια) και είναι πολύ γρήγορο σε όλα, ακόμα και όταν είναι σε ""Eco mode"" είναι πολύ γρήγορο.   -Πολύ δυνατά και καθαρά ηχεία, νομίζω τα πιό δυνατα ηχεία απο κάθε άλλο tablet.   -Πολύ φωτεινή οθόνη (ακόμα και στον ήλιο μέρα μεσημερι βλέπεις άνετα) και με καλή ανάλυση. Παίζεις και διαβάζεις βλέπεις ταινίες σερφάρεις κτλ χωρίς κανένα προβληματισμό.   -Καλό και γρήγορο GPS και καλό wifi.   -Πολύ καλή και συμπαγής και ζυγισμένη κατασκευή, εξαιρετικά λεπτό και ελαφρύ, δεν κουράζει στο χέρι.   -Έχει δυο κάμερας και η μπροστά κάμερα είναι ιδιαίτερα καλή και καθαρή ακόμα και στο λίγο φώς φαίνεται πολύ καθαρά ακομα και στις βιντεοκλήσεις μέσω skype κτλ.   -Παίρνει και έξτρα κάρτα μνήμης.   `   Αρνητικά:   -Τα χρώματα της οθόνης δεν είναι και τόσο έντονα, είναι λιγο κάπως σαν ξεπλυμένα αλλα όχι χάλια.   -Η πίσω κάμερα ποιητικά ειναι κάτω του μετρίου και στην φωτογραφία και στο βίντεο.   `   Γενικά: Αξίζει κάθε ευρώ και οποιος το αποκτήσει δεν πρόκειται να το μετανιώσει. Δύσκολα βρίσκεις με αυτά τα χαρακτηριστηκά και ποιότητα κατασκευής σε αυτή την τιμή.",Positive
κακως δεν εχει το play store,Positive
"πολυ καλο tablet,φθηνο,πολυ καλη ανταποκριση στα παιχνιδια.το μονο κακο ειναι οτι αμα το φορτοσεις πολλες εφαρμογες lagarei",Positive
